name,score
Greg Kinnear,1.3238
Karl Urban,1.26314
Susan Sarandon,1.2464
Jennifer Ehle,1.2056
Charlie Rowe,1.19991
Jamie Dornan,1.19404
Craig T. Nelson,1.16697
Anushka Sharma,0.914721
Antonio Banderas,0.909351
Mekhi Phifer,0.900753
Richard Madden,0.883263
Bo Huang,0.735666
Kate Winslet,0.63041
Tim Conway,0.625177
Geng Han,0.449892
Jeff Bridges,0.420435
Rihanna,0.40578
Eric Bauza,0.322094
Baoqiang Wang,0.195224
